,site,x_cart,y_cart,theta_polr,r_polr,dist_center,keep_this_site,mm_site
205,206,0.7374005305039795,-4.02403846153846,-1.3895582632457542,4.091044497720401,14.955378783641196,True,325
206,207,1.7374005305039795,-4.02403846153846,-1.1632176966493424,4.383086371877279,14.700460592011815,True,355
207,208,2.7374005305039795,-4.02403846153846,-0.9734405196284431,4.866851878200556,14.392972828662286,True,384
208,209,3.7374005305039795,-4.02403846153846,-0.8223124163626607,5.491907525200351,14.126021090529239,True,413
209,210,4.7374005305039795,-4.02403846153846,-0.7041567210764081,6.215774233863405,13.922229335266051,True,442
210,211,5.7374005305039795,-4.02403846153846,-0.611644584804428,7.0078991422086085,13.77329129523456,True,470
211,212,6.7374005305039795,-4.02403846153846,-0.5384087718350796,7.847639864849566,13.6650821635276,True,496
212,213,7.7374005305039795,-4.02403846153846,-0.47957933183469326,8.7212529208471,13.585662693344007,True,521
213,214,8.73740053050398,-4.02403846153846,-0.4315952960613087,9.619514206569479,13.526416157321115,True,545
214,215,9.73740053050398,-4.02403846153846,-0.39188141025324874,10.536121422582411,13.481417318682471,True,567
215,216,10.73740053050398,-4.02403846153846,-0.3585676118754599,11.466675878056725,13.446630176939797,True,586
216,217,11.73740053050398,-4.02403846153846,-0.3302811050946673,12.408040004505784,13.419287497498226,True,601
217,218,12.73740053050398,-4.02403846153846,-0.30600033297941825,13.357928649847771,13.39746647342639,True,613
218,219,-12.26259946949602,-3.02403846153846,0.24178237204387668,12.6299704816024,13.347320282131685,True,3
219,220,-11.26259946949602,-3.02403846153846,0.2623157537580642,11.661516000381594,13.362141594141665,True,16
220,221,-10.26259946949602,-3.02403846153846,0.28655600063138464,10.698867065636618,13.381112005619787,True,33
221,222,-9.26259946949602,-3.02403846153846,0.3155684608389005,9.74374453427284,13.405881215981927,True,53
222,223,-8.26259946949602,-3.02403846153846,0.3508492228828678,8.798599809639022,13.438966774531925,True,75
223,224,-7.2625994694960205,-3.02403846153846,0.3945512108697213,7.867029914217167,13.484323665574314,True,99
224,225,-6.2625994694960205,-3.02403846153846,0.44985214548182817,6.9544921261150145,13.548345190537422,True,125
225,226,-5.2625994694960205,-3.02403846153846,0.5215548746468841,6.069576739213674,13.64160373411432,True,152
226,227,-4.2625994694960205,-3.02403846153846,0.6170303399835597,5.226333595764018,13.781616813749018,True,180
227,228,-3.2625994694960205,-3.02403846153846,0.7474690508500335,4.448523790564642,13.995599888376978,True,209
228,229,-2.2625994694960205,-3.02403846153846,0.9284452684128718,3.7767929485513987,14.314046056431925,True,238
229,230,-1.2625994694960205,-3.02403846153846,1.1752775014813288,3.277036166604746,14.717787272529124,True,267
230,231,-0.26259946949602053,-3.02403846153846,1.4841762722415552,3.0354187681839697,15.00813803001765,True,296
231,232,0.7374005305039795,-3.02403846153846,-1.3316177329735883,3.112646487998829,14.906018709117225,True,326
232,233,1.7374005305039795,-3.02403846153846,-1.0493154074965405,3.4876022164603873,14.522269928983185,True,356
